Club,Temporada,Competición,Partidos,lleno,espectadores,promedio
Vélez Sarsfield,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,94.0,18.8
Vélez Sarsfield,19/20,Superliga Argentina,14,0,18.0,18.0
Vélez Sarsfield,18/19,Superliga Argentina,13,0,250.0,19.231
Vélez Sarsfield,17/18,Superliga Argentina,13,0,49.0,16.333
Vélez Sarsfield,16/17,Primera División,15,0,25.0,12.5
Vélez Sarsfield,15/16,Primera División,8,0,47.0,11.75
Vélez Sarsfield,14/15,Torneo de Transición,24,0,155.0,15.5
Vélez Sarsfield,13/14,Torneo Inicial,19,0,251.54,15.721
Vélez Sarsfield,12/13,Torneo Inicial,19,0,58.0,19.333
Vélez Sarsfield,11/12,Torneo Apertura,19,0,36.0,18.0
Vélez Sarsfield,10/11,Torneo Apertura,19,0,347.25,28.938
Vélez Sarsfield,09/10,Torneo Apertura,19,0,356.1,18.742
Vélez Sarsfield,08/09,Torneo Apertura,19,1,420.0,22.105
Vélez Sarsfield,07/08,Torneo Apertura,19,0,283.0,16.647
Vélez Sarsfield,06/07,Torneo Apertura,19,0,293.8,17.282
Vélez Sarsfield,05/06,Torneo Apertura,19,0,345.0,18.158
Vélez Sarsfield,04/05,Torneo Clausura,19,0,262.0,23.818
Vélez Sarsfield,03/04,Torneo Clausura,19,0,136.234,19.462
Vélez Sarsfield,02/03,Torneo Clausura,19,0,294.5,19.633
Vélez Sarsfield,01/02,Torneo Apertura,19,0,217.0,15.5
Vélez Sarsfield,00/01,Torneo Apertura,19,0,33.0,16.5
Vélez Sarsfield,99/00,Torneo Apertura,17,0,67.203,5.6
Vélez Sarsfield,98/99,Torneo Clausura,1,0,0.0,0.0
Vélez Sarsfield,97/98,Torneo Apertura,1,0,31.542,31.542
Vélez Sarsfield,89/90,Primera División,1,0,2.963,2.963
Estudiantes-LP,25/26,Torneo Apertura,6,0,0.0,0.0
Estudiantes-LP,24/25,Torneo Apertura,16,0,0.0,0.0
Estudiantes-LP,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),20,10,621.01,31.051
Estudiantes-LP,22/23,Liga Profesional de Fútbol (- 23/24),21,0,222.65,31.807
Estudiantes-LP,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),21,0,32.0,32.0
Estudiantes-LP,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,113.0,18.833
Estudiantes-LP,19/20,Superliga Argentina,15,0,0.0,0.0
Estudiantes-LP,18/19,Superliga Argentina,12,0,175.0,14.583
Estudiantes-LP,17/18,Superliga Argentina,14,0,47.0,15.667
Estudiantes-LP,16/17,Primera División,15,0,45.0,22.5
Estudiantes-LP,15/16,Primera División,8,0,153.55,25.592
Estudiantes-LP,14/15,Torneo de Transición,25,0,245.0,22.273
Estudiantes-LP,13/14,Torneo Inicial,19,0,319.0,18.765
Estudiantes-LP,12/13,Torneo Inicial,18,0,72.0,18.0
Estudiantes-LP,11/12,Torneo Apertura,19,0,72.0,18.0
Estudiantes-LP,10/11,Torneo Apertura,19,0,210.7,21.07
Estudiantes-LP,09/10,Torneo Apertura,19,0,329.0,17.316
Estudiantes-LP,08/09,Torneo Apertura,19,0,428.5,23.806
Estudiantes-LP,07/08,Torneo Apertura,19,0,459.0,24.158
Estudiantes-LP,06/07,Torneo Apertura,19,0,349.5,23.3
Estudiantes-LP,05/06,Torneo Apertura,19,0,277.0,14.579
Estudiantes-LP,04/05,Torneo Apertura,19,0,291.2,20.8
Estudiantes-LP,03/04,Torneo Clausura,19,0,189.0,15.75
Estudiantes-LP,02/03,Torneo Apertura,19,0,240.091,15.006
Estudiantes-LP,01/02,Torneo Apertura,19,0,212.5,12.5
Estudiantes-LP,00/01,Torneo Apertura,19,0,12.5,12.5
Estudiantes-LP,99/00,Torneo Clausura,16,0,65.017,5.001
Estudiantes-LP,98/99,Torneo Apertura,1,0,10.621,10.621
Unión,25/26,Torneo Apertura,5,0,0.0,0.0
Unión,24/25,Torneo Apertura,16,0,0.0,0.0
Unión,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),21,11,623.81,29.705
Unión,22/23,Liga Profesional de Fútbol (- 23/24),20,1,180.0,30.0
Unión,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),20,0,30.252,15.126
Unión,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,110.0,18.333
Unión,19/20,Superliga Argentina,14,0,15.0,15.0
Unión,18/19,Superliga Argentina,13,0,213.0,16.385
Unión,17/18,Superliga Argentina,13,0,27.0,13.5
Unión,16/17,Primera División,15,0,30.0,15.0
