Temporada,Date,Home,Away,Goles_Local,Goles_Visitante,Resultado_Texto,Resultado_Num,Attendance,Venue,Referee
2018,2018-12-08,Godoy Cruz,Independiente,1.0,1.0,Empate,0.0,0.0,Estadio Malvinas Argentinas,Germán Delfino
2018,2018-12-10,Patronato,Velez Sarsfield,3.0,3.0,Empate,0.0,0.0,Estadio Presbítero Bartolomé Grella,Jorge Baliño
2018,2018-12-09,Racing Club,San Martin SJ,1.0,0.0,Victoria,1.0,0.0,Estadio Presidente Juan Domingo Perón,Diego Abal
2018,2018-12-10,Belgrano,Tigre,1.0,2.0,Derrota,-1.0,0.0,Estadio Julio César Villagra,Andrés Merlos
2018,2018-12-13,Huracan,Argentinos Juniors,0.0,0.0,Empate,0.0,0.0,Estadio Tomás Adolfo Ducó,Silvio Trucco
2018,2019-01-19,River Plate,Defensa y Justicia,0.0,1.0,Derrota,-1.0,0.0,Estadio Monumental Antonio Vespucio Libe...,Diego Abal
2018,2019-01-20,San Lorenzo de Almagro,Huracan,0.0,0.0,Empate,0.0,0.0,Estadio Pedro Bidegaín,Andrés Merlos
2018,2019-01-23,River Plate,Union,1.0,2.0,Derrota,-1.0,0.0,Estadio Monumental Antonio Vespucio Libe...,Nicolás Lamolina
2018,2019-01-25,Godoy Cruz,Lanus,0.0,2.0,Derrota,-1.0,0.0,Estadio Malvinas Argentinas,Diego Ceballos
2018,2019-01-25,Banfield,San Martin SJ,1.0,1.0,Empate,0.0,0.0,Estadio Florencio Solá,Pablo Echavarría
2018,2019-01-26,Tigre,San Martin (Tucuman),2.0,2.0,Empate,0.0,0.0,Estadio José Dellagiovanna,Patricio Loustau
2018,2019-01-26,Huracan,Rosario Central,2.0,1.0,Victoria,1.0,0.0,Estadio Tomás Adolfo Ducó,Jorge Baliño
2018,2019-01-26,Atle Tucuman,GimnasiaLP,4.0,1.0,Victoria,1.0,0.0,Estadio Monumental Presidente José Fierr...,Hernán Mastrángelo
2018,2019-01-25,Defensa y Justicia,San Lorenzo de Almagro,1.0,0.0,Victoria,1.0,0.0,Estadio Norberto Tito Tomaghello,Nicolás Lamolina
2018,2019-01-27,Belgrano,Union,0.0,0.0,Empate,0.0,0.0,Estadio Julio César Villagra,Nazareno Arasa
2018,2019-01-27,Independiente,TalleresC,1.0,1.0,Empate,0.0,0.0,Estadio Libertadores de América,Néstor Pitana
2018,2019-01-27,River Plate,Patronato,1.0,3.0,Derrota,-1.0,0.0,Estadio Monumental Antonio Vespucio Libe...,Mauro Vigliano
2018,2019-01-26,Aldosivi,Racing Club,1.0,3.0,Derrota,-1.0,0.0,Estadio José María Minella,Germán Delfino
2018,2019-01-28,Colon,Argentinos Juniors,2.0,0.0,Victoria,1.0,0.0,Estadio Brigadier General Estanislao Lóp...,Fernando Espinoza
2018,2019-01-27,Newell's Old Boys,Boca Juniors,1.0,1.0,Empate,0.0,0.0,Estadio Marcelo Alberto Bielsa,Andrés Merlos
2018,2019-01-28,EstudiantesLP,Velez Sarsfield,1.0,2.0,Derrota,-1.0,0.0,Estadio Ciudad de La Plata,Silvio Trucco
2018,2019-01-30,Godoy Cruz,River Plate,0.0,4.0,Derrota,-1.0,0.0,Estadio Malvinas Argentinas,Ariel Penel
2018,2019-02-01,GimnasiaLP,Tigre,3.0,1.0,Victoria,1.0,0.0,Estadio Juan Carmelo Zerillo,Jorge Baliño
2018,2019-01-31,San Martin SJ,Boca Juniors,0.0,4.0,Derrota,-1.0,0.0,Estadio Ingeniero Hilario Sánchez,Diego Abal
2018,2019-02-02,San Lorenzo de Almagro,Independiente,0.0,0.0,Empate,0.0,0.0,Estadio Pedro Bidegaín,Diego Abal
2018,2019-02-02,Argentinos Juniors,Belgrano,0.0,0.0,Empate,0.0,0.0,Estadio Diego Armando Maradona,Andrés Merlos
2018,2019-02-02,Lanus,Colon,1.0,0.0,Victoria,1.0,0.0,Estadio Ciudad de Lanús,Pablo Dóvalo
2018,2019-02-01,TalleresC,Banfield,3.0,1.0,Victoria,1.0,0.0,Estadio Mario Alberto Kempes,Germán Delfino
2018,2019-02-01,San Martin (Tucuman),Defensa y Justicia,1.0,2.0,Derrota,-1.0,0.0,Estadio Eva Perón de San Miguel de Tucum...,Pablo Echavarría
2018,2019-02-03,Boca Juniors,Godoy Cruz,2.0,0.0,Victoria,1.0,0.0,Estadio Alberto José Armando,Silvio Trucco
2018,2019-02-03,Union,Newell's Old Boys,0.0,0.0,Empate,0.0,0.0,Estadio 15 de Abril,Yael Falcón
2018,2019-02-03,Racing Club,Huracan,3.0,1.0,Victoria,1.0,0.0,Estadio Presidente Juan Domingo Perón,Néstor Pitana
2018,2019-02-02,Rosario Central,Aldosivi,0.0,0.0,Empate,0.0,0.0,Estadio Dr. Lisandro de la Torre,Ariel Penel
2018,2019-02-04,Patronato,Atle Tucuman,3.0,0.0,Victoria,1.0,0.0,Estadio Presbítero Bartolomé Grella,Fernando Espinoza
2018,2019-02-03,Velez Sarsfield,River Plate,1.0,2.0,Derrota,-1.0,0.0,Estadio José Amalfitani,Darío Herrera
2018,2019-02-04,San Martin SJ,EstudiantesLP,3.0,0.0,Victoria,1.0,0.0,Estadio Ingeniero Hilario Sánchez,Nicolás Lamolina
2018,2019-02-08,Tigre,Banfield,4.0,4.0,Empate,0.0,0.0,Estadio José Dellagiovanna,Darío Herrera
2018,2019-02-09,EstudiantesLP,Patronato,1.0,0.0,Victoria,1.0,0.0,Estadio Ciudad de La Plata,Leandro Rey Hilfer
2018,2019-02-09,Independiente,Union,2.0,1.0,Victoria,1.0,0.0,Estadio Libertadores de América,Germán Delfino
2018,2019-02-09,Atle Tucuman,TalleresC,0.0,0.0,Empate,0.0,0.0,Estadio Monumental Presidente José Fierr...,Silvio Trucco
2018,2019-02-08,Lanus,GimnasiaLP,2.0,0.0,Victoria,1.0,0.0,Estadio Ciudad de Lanús,Pablo Echavarría
2018,2019-02-08,Huracan,Velez Sarsfield,1.0,1.0,Empate,0.0,0.0,Estadio Tomás Adolfo Ducó,Hernán Mastrángelo
2018,2019-02-10,Newell's Old Boys,Rosario Central,0.0,0.0,Empate,0.0,0.0,Estadio Marcelo Alberto Bielsa,Diego Abal
2018,2019-02-10,Godoy Cruz,San Martin (Tucuman),3.0,2.0,Victoria,1.0,0.0,Estadio Malvinas Argentinas,Julio Barraza
